"codigo";"nome";"departamento_id"
220;"SEMINÁRIO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE 13";9
221;"SEMINÁRIO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE 2";9
222;"SEMINÁRIO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE 3";9
223;"SEMINÁRIO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE 4";9
224;"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 1";9
225;"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 10";9
226;"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 6";9
227;"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 7";9
228;"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 8";9
229;"SEMINARIO EM TEORIA,CRITICA E HISTORIA DA ARTE 9";9
230;"TEORIA E HISTÓRIA DA ARTE E DA IMAGEM NO ESPAÇO/TEMPO 1";9
231;"TEORIA E HISTÓRIA DA ARTE E DA IMAGEM NO ESPAÇO/TEMPO 5";9
232;"TEORIA E HISTÓRIA DA ARTE E DA IMAGEM NO ESPAÇO/TEMPO 6";9
233;"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 1";9
234;"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 2";9
235;"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 3";9
236;"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 4";9
237;"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 5";9
238;"TEORIA, CRÍTICA E HISTÓRIA DA ARTE 6";9
239;"TRABALHO DE CONCLUSÃO DE CURSO";9
240;"TRABALHO DE CONCLUSÃO DE CURSO EM TEORIA, CRÍTICA E HISTÓRIA DA ARTE";9
241;"ADMINISTRAÇÃO PUBLICITÁRIA";10
242;"ARGUMENTO E ROTEIRO";10
243;"ARTE E PUBLICIDADE";10
244;"BRANDING: UMA VISÃO PRÁTICA";10
245;"CINEMA BRASILEIRO";10
246;"COMUNICAÇÃO E GÊNERO";10
247;"COMUNICAÇÃO E SOCIEDADE";10
248;"CRIATIVIDADE EM PUBLICIDADE";10
249;"DIREÇÃO";10
250;"DIREÇÃO DE ARTE EM ARTES GRÁFICAS";10
251;"DIREÇÃO DE ATORES";10
252;"DIREÇÃO EM AUDIOVISUAL 2";10
253;"DOCUMENTÁRIO 1";10
254;"DOCUMENTÁRIO 2";10
255;"EDIÇÃO E MONTAGEM";10
256;"EDIÇÃO E MONTAGEM 2";10
257;"FOTOGRAFIA E ILUMINAÇÃO 1";10
258;"FOTOGRAFIA E ILUMINACAO 2";10
259;"FOTOGRAFIA PUBLICITÁRIA";10
260;"FUNDAMENTOS DE COMUNICAÇÃO VISUAL";10
261;"HISTORIA DO CINEMA";10
262;"INTRODUÇÃO A FOTOGRAFIA";10
263;"INTRODUÇÃO A LINGUAGEM SONORA";10
264;"INTRODUÇÃO A PUBLICIDADE E PROPAGANDA";10
265;"LABORATÓRIO EM PUBLICIDADE E PROPAGANDA";10
266;"LEGISLAÇÃO E REGULAMENTAÇÃO DE PUBLICIDADE E PROPAGANDA";10
267;"LEGISLAÇÃO, DESENVOLVIMENTO E PRODUÇÃO DE PROJETOS";10
268;"LINGUAGENS CINEMATOGRÁFICA E AUDIOVISUAL";10
269;"MARKETING EM PUBLICIDADE E PROPAGANDA";10
270;"MÍDIA E GERENCIAMENTO DE CONTAS";10
271;"OFICINA BÁSICA DE AUDIOVISUAL";10
272;"OFICINA DE ARGUMENTO E ROTEIRO";10
273;"PESQUISA PUBLICITÁRIA";10
274;"PLANEJAMENTO PUBLICITÁRIO";10
275;"PRÉ-PROJETO EM AUDIOVISUAL";10
276;"PRÉ-PROJETO EM PUBLICIDADE E PROPAGANDA";10
277;"PRODUÇÃO";10
278;"PRODUÇÃO 2";10
279;"PRODUÇÃO PUBLICITÁRIA AUDIOVISUAL";10
280;"PROJETO EXPERIMENTAL EM AUDIOVISUAL";10
281;"PROJETO FINAL EM PUBLICIDADE E PROPAGANDA";10
282;"PUBLICIDADE E SOCIEDADE";10
283;"REDAÇÃO PUBLICITÁRIA";10
284;"ROTEIRO, PRODUÇÃO E REALIZAÇÃO EM ÁUDIO";10
285;"SOM 1";10
286;"SOM 2";10
287;"TEORIA ESTÉTICA DO CINEMA E DO AUDIOVISUAL";10
288;"TÓPICOS ESPECIAIS EM COMUNICAÇÃO 3";10
289;"TÓPICOS ESPECIAIS EM COMUNICAÇÃO 4";10
290;"BIOFISICA";11
291;"BIOINFORMÁTICA";11
292;"BIOLOGIA CELULAR";11
293;"BIOLOGIA GERAL";11
294;"BIOLOGIA MOLECULAR";11
295;"BIOQUIMICA";11
296;"BIOQUIMICA ANIMAL";11
297;"BIOQUIMICA E BIOFISICA";11
298;"BIOQUIMICA E BIOFISICA EXPERIMENTAL";11
299;"BIOQUIMICA FUNDAMENTAL";11
300;"BIOSSEGURANÇA";11
301;"BOAS PRÁTICAS DE LABORATÓRIO E DE FABRICAÇÃO";11
302;"CITOLOGIA";11
303;"ELABORAÇÃO DE PROJETOS BIOTECNOLÓGICOS";11
304;"EMPREENDEDORISMO E ANÁLISE DE MERCADO EM BIOTECNOLOGIA";11
305;"ENGENHARIA GENÉTICA";11
306;"ENOVELAMENTO DE PROTEINAS";11
307;"ESTAGIO EM BIOLOGIA ESTRUTURAL";11
308;"ESTÁGIO PROFISSIONAL EM BIOTECNOLOGIA";11
309;"ESTAGIO SUPERVISIONADO EM BIOLOGIA MOLECULAR";11
310;"ESTÁGIO SUPERVISIONADO EM BIOQUÍMICA";11
311;"ESTAGIO SUPERVISIONADO EM IMUNOLOGIA";11
312;"ESTAGIO SUPERVISIONADO EM VIROLOGIA";11
